,Rooms,Distance,Postcode,Bathroom,Car,Landsize,Lattitude,Longtitude,Propertycount,Year,Month,Type_t,Type_u,Regionname_Eastern Victoria,Regionname_Northern Metropolitan,Regionname_Northern Victoria,Regionname_South-Eastern Metropolitan,Regionname_Southern Metropolitan,Regionname_Western Metropolitan,Regionname_Western Victoria,Price
1,2,2.5,3067.0,1.0,1.0,202.0,-37.7996,144.9984,4019.0,2016,3,0,0,0,1,0,0,0,0,0,1480000.0
2,2,2.5,3067.0,1.0,0.0,156.0,-37.8079,144.9934,4019.0,2016,4,0,0,0,1,0,0,0,0,0,1035000.0
4,3,2.5,3067.0,2.0,0.0,134.0,-37.8093,144.9944,4019.0,2017,4,0,0,0,1,0,0,0,0,0,1465000.0
5,3,2.5,3067.0,2.0,1.0,94.0,-37.7969,144.9969,4019.0,2017,4,0,0,0,1,0,0,0,0,0,850000.0
6,4,2.5,3067.0,1.0,2.0,120.0,-37.8072,144.9941,4019.0,2016,4,0,0,0,1,0,0,0,0,0,1600000.0
10,2,2.5,3067.0,1.0,0.0,181.0,-37.8041,144.9953,4019.0,2016,7,0,0,0,1,0,0,0,0,0,941000.0
11,3,2.5,3067.0,2.0,0.0,245.0,-37.8024,144.9993,4019.0,2016,7,0,0,0,1,0,0,0,0,0,1876000.0
14,2,2.5,3067.0,1.0,2.0,256.0,-37.806,144.9954,4019.0,2016,8,0,0,0,1,0,0,0,0,0,1636000.0
15,3,2.5,3067.0,1.0,2.0,512.0,-37.80046,145.0032,4019.0,2016,8,0,0,0,1,0,0,0,0,0,1000000.0
16,2,2.5,3067.0,1.0,2.0,512.0,-37.80046,145.0032,4019.0,2016,8,1,0,0,1,0,0,0,0,0,745000.0
17,1,2.5,3067.0,1.0,1.0,0.0,-37.8008,144.9973,4019.0,2016,8,0,1,0,1,0,0,0,0,0,300000.0
18,2,2.5,3067.0,1.0,2.0,220.0,-37.801,144.9989,4019.0,2016,8,0,0,0,1,0,0,0,0,0,1097000.0
19,2,2.5,3067.0,1.0,2.0,512.0,-37.80046,145.0032,4019.0,2016,8,0,1,0,1,0,0,0,0,0,542000.0
21,2,2.5,3067.0,1.0,2.0,512.0,-37.80046,145.0032,4019.0,2016,10,0,1,0,1,0,0,0,0,0,760000.0
22,1,2.5,3067.0,1.0,2.0,512.0,-37.80046,145.0032,4019.0,2016,10,0,1,0,1,0,0,0,0,0,481000.0
23,2,2.5,3067.0,2.0,1.0,0.0,-37.811,145.0067,4019.0,2016,12,0,1,0,1,0,0,0,0,0,700000.0
24,3,2.5,3067.0,2.0,2.0,214.0,-37.8085,144.9964,4019.0,2016,12,0,0,0,1,0,0,0,0,0,1350000.0
25,2,2.5,3067.0,2.0,1.0,0.0,-37.8078,144.9965,4019.0,2016,12,0,1,0,1,0,0,0,0,0,750000.0
26,4,2.5,3067.0,1.0,2.0,512.0,-37.8084,144.9942,4019.0,2016,12,0,0,0,1,0,0,0,0,0,1985000.0
27,1,2.5,3067.0,1.0,2.0,512.0,-37.80046,145.0032,4019.0,2016,12,0,1,0,1,0,0,0,0,0,500000.0
28,2,2.5,3067.0,1.0,1.0,195.0,-37.8084,144.9973,4019.0,2016,8,0,0,0,1,0,0,0,0,0,1172500.0
29,1,2.5,3067.0,1.0,1.0,0.0,-37.8016,144.9988,4019.0,2016,5,0,1,0,1,0,0,0,0,0,441000.0
30,2,2.5,3067.0,1.0,2.0,238.0,-37.809,144.9976,4019.0,2016,10,0,0,0,1,0,0,0,0,0,1310000.0
32,3,2.5,3067.0,2.0,1.0,113.0,-37.8056,144.993,4019.0,2016,7,0,0,0,1,0,0,0,0,0,1200000.0
33,2,2.5,3067.0,1.0,2.0,512.0,-37.80046,145.0032,4019.0,2016,7,1,0,0,1,0,0,0,0,0,847000.0
35,3,2.5,3067.0,1.0,1.0,138.0,-37.8021,144.9965,4019.0,2016,7,0,0,0,1,0,0,0,0,0,1176500.0
